Communication Skills,Problem Solving Skills,Leadership and Ethics,Quantitative Aptitude,Logical Reasoning,Public Speaking,Marketing Skills,Human Resource Management,Legal Knowledge,Design Thinking,Creative Writing,Healthcare Procedures,Financial Accounting,Education Pedagogy,Training & Development,Hospitality Management,Nutrition & Dietetics,Media Production,Role
Beginner,Beginner,Average,Average,Poor,Poor,Intermediate,Beginner,Professional,Poor,Average,Intermediate,Professional,Professional,Poor,Beginner,Average,Average,Investment Banker
Intermediate,Beginner,Beginner,Intermediate,Beginner,Beginner,Average,Professional,Intermediate,Professional,Professional,Intermediate,Intermediate,Professional,Beginner,Beginner,Poor,Beginner,Investment Banker
Poor,Beginner,Poor,Poor,Average,Professional,Beginner,Professional,Beginner,Beginner,Intermediate,Poor,Beginner,Professional,Average,Intermediate,Intermediate,Average,Investment Banker
Beginner,Poor,Beginner,Poor,Intermediate,Beginner,Poor,Poor,Beginner,Professional,Professional,Professional,Poor,Average,Intermediate,Beginner,Average,Poor,Investment Banker
Beginner,Intermediate,Average,Beginner,Poor,Average,Intermediate,Poor,Average,Poor,Average,Beginner,Intermediate,Poor,Professional,Average,Intermediate,Poor,Investment Banker
Intermediate,Poor,Poor,Professional,Intermediate,Average,Beginner,Intermediate,Beginner,Intermediate,Average,Professional,Intermediate,Professional,Professional,Beginner,Poor,Intermediate,Investment Banker
Poor,Poor,Beginner,Beginner,Intermediate,Average,Intermediate,Average,Intermediate,Average,Beginner,Intermediate,Intermediate,Average,Professional,Beginner,Intermediate,Poor,Investment Banker
Average,Professional,Poor,Poor,Intermediate,Intermediate,Intermediate,Poor,Intermediate,Poor,Beginner,Beginner,Poor,Intermediate,Poor,Average,Professional,Beginner,Investment Banker
Intermediate,Beginner,Intermediate,Professional,Beginner,Intermediate,Beginner,Poor,Intermediate,Intermediate,Intermediate,Professional,Average,Beginner,Intermediate,Intermediate,Intermediate,Professional,Investment Banker
Intermediate,Poor,Average,Intermediate,Average,Beginner,Poor,Intermediate,Beginner,Professional,Average,Professional,Average,Beginner,Professional,Intermediate,Poor,Professional,Investment Banker
Average,Poor,Intermediate,Poor,Beginner,Professional,Professional,Beginner,Beginner,Professional,Average,Average,Beginner,Poor,Intermediate,Average,Beginner,Professional,Investment Banker
